date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,7,5.0,100,0,0,0,0,7,0,0,0,0
2026-06-21,7,5.0,100,0,0,0,0,7,0,0,0,0
2026-06-22,8,5.0,100,0,0,0,0,8,0,0,0,0
2026-06-23,7,5.0,100,0,0,0,0,7,0,0,0,0
2026-06-24,7,5.0,100,0,0,0,0,7,0,0,0,0
2026-06-25,7,5.0,100,0,0,0,0,7,0,0,0,0
2026-06-26,7,5.0,100,0,0,0,0,7,0,0,0,0
2026-06-27,7,5.0,100,0,0,0,0,7,0,0,0,0
2026-06-28,7,5.0,100,0,0,0,0,7,0,0,0,0
2026-06-30,8,5.0,100,0,0,0,0,8,0,0,0,0
2026-07-01,8,5.0,100,0,0,0,0,8,0,0,0,0
2026-07-02,8,5.0,100,0,0,0,0,8,0,0,0,0
